"term","c","cDis"
"vote",9745,9745
"east",9732,9732
"okay",9723,9723
"earlier",9711,9711
"companies",9708,9708
"forget",9648,9648
"answer",9631,9631
"boys",9631,9631
"moving",9625,9625
"website",9597,9597
"knows",9595,9595
"voice",9588,9588
"action",9568,9568
"expected",9564,9564
"wonder",9551,9551
"heat",9550,9550
"la",9524,9524
"feet",9489,9489
"problems",9485,9485
"research",9469,9469
"piece",9441,9441
"offer",9429,9429
"success",9425,9425
"fast",9421,9421
"oil",9412,9412
"david",9407,9407
"beat",9405,9405
"june",9404,9404
"sales",9398,9398
"re",9391,9391
"pass",9379,9379
"seven",9343,9343
"mark",9342,9342
"design",9334,9334
"simple",9325,9325
"wrote",9298,9298
"brought",9297,9297
"due",9294,9294
"budget",9285,9285
"spend",9273,9273
"fight",9242,9242
"became",9236,9236
"save",9229,9229
"attention",9206,9206
"league",9205,9205
"alone",9196,9196
"billion",9188,9188
"current",9141,9141
"sun",9132,9132
"drink",9117,9117
"non",9117,9117
"whose",9113,9113
"seriously",9101,9101
"whatever",9081,9081
"husband",9076,9076
"sad",9060,9060
"football",9025,9025
"staff",9024,9024
"training",8993,8993
"received",8988,8988
"united",8975,8975
"date",8971,8971
"jesus",8942,8942
"exactly",8929,8929
"dark",8909,8909
"gotta",8907,8907
"student",8892,8892
"plus",8857,8857
"missed",8848,8848
"louis",8823,8823
"key",8796,8796
"events",8791,8791
"james",8780,8780
"main",8762,8762
"example",8760,8760
"fresh",8754,8754
"died",8747,8747
"led",8744,8744
"paid",8740,8740
"entire",8721,8721
"stories",8701,8701
"term",8701,8701
"cup",8686,8686
"daughter",8679,8679
"afternoon",8676,8676
"followers",8670,8670
"teams",8663,8663
"practice",8653,8653
"choice",8652,8652
"busy",8632,8632
"california",8627,8627
"loss",8626,8626
"form",8616,8616
"paul",8608,8608
"opening",8603,8603
"bought",8599,8599
"dream",8594,8594
"table",8587,8587
"mine",8584,8584
"ideas",8568,8568
"member",8552,8552
"provide",8534,8534
"dr",8530,8530
"moved",8481,8481
"focus",8461,8461
"interest",8455,8455
"extra",8439,8439
"deep",8435,8435
"sports",8426,8426
"brother",8412,8412
"medical",8397,8397
"study",8395,8395
"dance",8394,8394
"totally",8390,8390
"track",8379,8379
"opportunity",8377,8377
"followed",8355,8355
"congrats",8348,8348
"council",8321,8321
"view",8311,8311
"details",8309,8309
"financial",8306,8306
"private",8295,8295
"difficult",8279,8279
"learned",8266,8266
"hi",8261,8261
"cute",8252,8252
"agree",8234,8234
"sitting",8230,8230
"kid",8221,8221
"ha",8210,8210
"lose",8205,8205
"bowl",8204,8204
"press",8202,8202
"note",8182,8182
"eye",8180,8180
"beach",8177,8177
"minute",8176,8176
"pictures",8176,8176
"text",8168,8168
"despite",8163,8163
"learning",8163,8163
"hospital",8160,8160
"safe",8160,8160
"test",8159,8159
"wall",8152,8152
"ground",8129,8129
"workers",8124,8124
"quickly",8119,8119
"completely",8106,8106
"double",8104,8104
"tickets",8099,8099
"development",8094,8094
"higher",8083,8083
"chicken",8080,8080
"hall",8080,8080
"michael",8080,8080
"box",8064,8064
"ice",8061,8061
"certain",8045,8045
"written",8019,8019
"type",8003,8003
"serious",7991,7991
"industry",7990,7990
"role",7976,7976
"winning",7973,7973
"involved",7971,7971
"listen",7971,7971
"position",7955,7955
"chief",7954,7954
"tour",7954,7954
"character",7947,7947
"color",7942,7942
"straight",7938,7938
"rain",7932,7932
"truth",7921,7921
"starts",7904,7904
"release",7903,7903
"finish",7898,7898
"message",7898,7898
"changed",7888,7888
"created",7888,7888
"tired",7885,7885
"evening",7882,7882
"changes",7879,7879
"dad",7878,7878
"eating",7878,7878
"security",7875,7875
"force",7852,7852
"complete",7846,7846
"comment",7837,7837
"listening",7832,7832
"international",7830,7830
"judge",7820,7820
"portland",7812,7812
"performance",7808,7808
"floor",7802,7802
"upon",7798,7798
"eight",7776,7776
"ahead",7774,7774
"daily",7743,7743
"expect",7742,7742
"miles",7741,7741
"interested",7728,7728
"kept",7728,7728
"stage",7727,7727
"restaurant",7726,7726
"photo",7724,7724
"defense",7711,7711
"average",7708,7708
"sit",7698,7698
"july",7695,7695
"sister",7685,7685
"chris",7677,7677
"speak",7674,7674
"wear",7670,7670
"anyway",7664,7664
"chocolate",7660,7660
"de",7659,7659
"sick",7654,7654
"spending",7653,7653
"account",7648,7648
"bank",7630,7630
"die",7607,7607
"quality",7604,7604
"data",7603,7603
"figure",7600,7600
"begin",7595,7595
"driving",7591,7591
"rights",7589,7589
"born",7574,7574
"helped",7572,7572
"feels",7568,7568
"gift",7566,7566
"original",7549,7549
"released",7526,7526
"total",7523,7523
"economic",7497,7497
"spot",7496,7496
"relationship",7495,7495
"land",7485,7485
"economy",7479,7479
"pain",7478,7478
"statement",7476,7476
"similar",7460,7460
"calls",7457,7457
"growing",7455,7455
"quarter",7455,7455
"runs",7454,7454
"cheese",7435,7435
"proud",7431,7431
"rate",7420,7420
"beginning",7419,7419
"foot",7419,7419
"internet",7418,7418
"period",7400,7400
"walking",7399,7399
"album",7385,7385
"allowed",7379,7379
"gives",7378,7378
"size",7361,7361
"quick",7355,7355
"catch",7350,7350
"allow",7349,7349
"m",7348,7348
"trust",7343,7343
"shop",7336,7336
"places",7329,7329
"tweets",7329,7329
"biggest",7327,7327
"beyond",7320,7320
"interview",7318,7318
"radio",7314,7314
"blood",7310,7310
"manager",7306,7306
"amount",7304,7304
"clean",7300,7300
"title",7276,7276
"fair",7272,7272
"build",7271,7271
"photos",7270,7270
"happens",7261,7261
"cream",7256,7256
"hotel",7254,7254
"review",7253,7253
"oregon",7246,7246
"etc",7245,7245
"certainly",7241,7241
"fell",7235,7235
"poor",7224,7224
"leaving",7219,7219
"sale",7211,7211
"version",7188,7188
"republican",7179,7179
"senior",7175,7175
"ended",7163,7163
"x",7158,7158
"employees",7156,7156
"contact",7155,7155
"passed",7154,7154
"scene",7153,7153
"earth",7147,7147
"hearing",7116,7116
"lord",7116,7116
"hurt",7112,7112
"seemed",7109,7109
"increase",7101,7101
"natural",7097,7097
"property",7094,7094
"credit",7083,7083
"present",7073,7073
"songs",7065,7065
"mike",7059,7059
"executive",7056,7056
"library",7050,7050
"named",7049,7049
"situation",7042,7042
"consider",7024,7024
"sold",6990,6990
"mention",6989,6989
"rose",6978,6978
"truly",6977,6977
"union",6962,6962
"sort",6957,6957
"river",6951,6951
"thoughts",6933,6933
"mix",6919,6919
"common",6916,6916
"lady",6908,6908
"ride",6907,6907
"tough",6904,6904
"choose",6885,6885
"garden",6880,6880
"link",6875,6875
"reported",6871,6871
"wearing",6862,6862
"planning",6861,6861
"texas",6846,6846
"killed",6826,6826
"value",6814,6814
"gas",6811,6811
"sat",6806,6806
"regular",6804,6804
"result",6797,6797
"warm",6792,6792
"lovely",6790,6790
"absolutely",6788,6788
"taste",6784,6784
"fear",6783,6783
"safety",6781,6781
"projects",6774,6774
"winter",6760,6760
"potential",6756,6756
"teacher",6744,6744
"asking",6742,6742
"results",6739,6739
"putting",6731,6731
"effort",6729,6729
"missing",6722,6722
"ran",6720,6720
"products",6717,6717
"king",6715,6715
"grow",6705,6705
"worst",6704,6704
"computer",6697,6697
"travel",6690,6690
"central",6686,6686
"fit",6686,6686
"block",6684,6684
"rules",6683,6683
"touch",6679,6679
"fourth",6674,6674
"via",6669,6669
"cake",6657,6657
"costs",6649,6649
"committee",6645,6645
"mostly",6634,6634
"built",6617,6617
"article",6616,6616
"hoping",6606,6606
"dude",6605,6605
"enjoyed",6597,6597
"sell",6592,6592
"everybody",6591,6591
"families",6579,6579
"meant",6578,6578
"smith",6577,6577
"attorney",6572,6572
"reach",6561,6561
"watched",6561,6561
"throughout",6556,6556
"annual",6553,6553
"difference",6533,6533
"included",6527,6527
"telling",6524,6524
"base",6506,6506
"imagine",6505,6505
"peace",6496,6496
"healthy",6494,6494
"closed",6485,6485
"holiday",6485,6485
"kitchen",6483,6483
"trade",6474,6474
"sugar",6473,6473
"society",6467,6467
"square",6461,6461
"apparently",6440,6440
"cant",6408,6408
"draft",6404,6404
"cards",6399,6399
"smile",6387,6387
"realize",6385,6385
"technology",6380,6380
"romney",6375,6375
"drop",6373,6373
"opened",6370,6370
"characters",6365,6365
"lucky",6365,6365
"groups",6363,6363
"leaders",6358,6358
"glass",6357,6357
"hopefully",6353,6353
"english",6350,6350
"includes",6346,6346
"election",6333,6333
"fat",6330,6330
"growth",6328,6328
"reality",6324,6324
"weight",6324,6324
"official",6323,6323
"calling",6309,6309
"showed",6303,6303
"bottom",6288,6288
"forever",6281,6281
"lake",6281,6281
"movies",6277,6277
"popular",6269,6269
"dear",6264,6264
"google",6257,6257
"lower",6256,6256
"announced",6250,6250
"supposed",6248,6248
"serve",6245,6245
"legal",6234,6234
"prices",6227,6227
"kill",6219,6219
"slow",6215,6215
"toward",6213,6213
"vs",6208,6208
"currently",6203,6203
"snow",6196,6196
"policy",6193,6193
"onto",6187,6187
"caught",6174,6174
"loves",6155,6155
"florida",6150,6150
"risk",6150,6150
"downtown",6143,6143
"bus",6130,6130
"session",6128,6128
"served",6126,6126
"anymore",6125,6125
"ill",6125,6125
"faith",6122,6122
"hello",6122,6122
"search",6118,6118
"throw",6118,6118
"shopping",6116,6116
"signed",6108,6108
"teachers",6096,6096
"except",6090,6090
"station",6090,6090
"fish",6089,6089
"agreed",6084,6084
"numbers",6082,6082
"cancer",6079,6079
"residents",6077,6077
"positive",6074,6074
"appreciate",6060,6060
"nature",6058,6058
"records",6048,6048
"french",6046,6046
"pieces",6044,6044
"filled",6040,6040
"keeping",6039,6039
"baseball",6035,6035
"folks",6024,6024
"breakfast",6020,6020
"1st",6012,6012
"customers",6009,6009
"mad",6008,6008
"stupid",6005,6005
"orange",6000,6000
"officer",5996,5996
"agency",5992,5992
"image",5989,5989
"science",5986,5986
"access",5961,5961
"worse",5960,5960
"cook",5952,5952
"los",5951,5951
"traffic",5951,5951
"older",5944,5944
"immediately",5940,5940
"tea",5910,5910
"tree",5906,5906
"latest",5905,5905
"posted",5896,5896
"product",5888,5888
"bag",5885,5885
"stopped",5884,5884
"winner",5883,5883
"author",5880,5880
"liked",5879,5879
"basketball",5875,5875
"finding",5874,5874
"ability",5869,5869
"pop",5869,5869
"marriage",5866,5866
"grand",5865,5865
"weird",5862,5862
"joe",5856,5856
"january",5852,5852
"unless",5849,5849
"rich",5848,5848
"bay",5847,5847
"dress",5842,5842
"areas",5834,5834
"evidence",5832,5832
"previous",5832,5832
"wide",5832,5832
"mayor",5825,5825
"bro",5824,5824
"george",5824,5824
"award",5820,5820
"programs",5813,5813
"letter",5807,5807
"related",5803,5803
"lack",5786,5786
"picked",5783,5783
"americans",5781,5781
"till",5778,5778
"walked",5777,5777
"shooting",5772,5772
"brain",5771,5771
"gold",5770,5770
"nine",5769,5769
"sharing",5768,5768
"today's",5758,5758
"mail",5753,5753
"cases",5738,5738
"items",5736,5736
"overall",5725,5725
"lines",5722,5722
"response",5720,5720
"address",5716,5716
"plays",5713,5713
"eventually",5709,5709
"contract",5708,5708
"owner",5698,5698
"train",5691,5691
"leading",5686,5686
"marketing",5684,5684
"language",5681,5681
"officers",5678,5678
"parts",5677,5677
"secret",5670,5670
"reports",5665,5665
"insurance",5661,5661
"g",5656,5656
"drug",5655,5655
"crowd",5654,5654
"comments",5652,5652
"goals",5649,5649
"tom",5646,5646
"cash",5645,5645
"network",5638,5638
"roll",5638,5638
"info",5625,5625
"lived",5624,5624
"considered",5615,5615
"headed",5607,5607
"stock",5600,5600
"dreams",5599,5599
"cross",5597,5597
"wedding",5589,5589
"effect",5564,5564
"production",5563,5563
"receive",5562,5562
"creative",5549,5549
"collection",5528,5528
"normal",5522,5522
"helping",5515,5515
"loving",5509,5509
"year's",5507,5507
"recipe",5504,5504
"ah",5503,5503
"addition",5496,5496
"speaking",5495,5495
"successful",5489,5489
"valley",5469,5469
"justice",5464,5464
"robert",5463,5463
"austin",5462,5462
"military",5458,5458
"museum",5456,5456
"hill",5450,5450
"clearly",5445,5445
"content",5439,5439
"none",5436,5436
"apple",5435,5435
"twice",5433,5433
"leader",5432,5432
"various",5427,5427
"raised",5423,5423
"voters",5422,5422
"wild",5421,5421
"reasons",5412,5412
"nfl",5406,5406
"doubt",5400,5400
"conversation",5394,5394
"respect",5394,5394
"jones",5386,5386
"homes",5381,5381
"artist",5378,5378
"management",5367,5367
"easily",5365,5365
"attack",5357,5357
"worry",5357,5357
"match",5356,5356
"brand",5351,5351
"culture",5350,5350
"terms",5350,5350
"count",5347,5347
"particular",5332,5332
"senate",5318,5318
"offered",5306,5306
"spirit",5304,5304
"notice",5298,5298
"standing",5296,5296
"degree",5291,5291
"benefits",5284,5284
"holding",5275,5275
"score",5274,5274
"range",5267,5267
"charge",5266,5266
"soul",5265,5265
"web",5251,5251
"indeed",5236,5236
"island",5235,5235
"shoes",5231,5231
"association",5228,5228
"easier",5225,5225
"heavy",5225,5225
"dry",5219,5219
"required",5218,5218
"speed",5217,5217
"crime",5207,5207
"november",5206,5206
"showing",5206,5206
"nation",5202,5202
"modern",5199,5199
"trouble",5197,5197
"bout",5196,5196
"concert",5195,5195
"cars",5193,5193
"johnson",5188,5188
"thats",5182,5182
"al",5171,5171
"model",5169,5169
"shirt",5168,5168
"angeles",5159,5159
"realized",5152,5152
"broken",5149,5149
"turns",5146,5146
"charges",5141,5141
"novel",5139,5139
"stars",5136,5136
"ten",5129,5129
"raise",5127,5127
"festival",5126,5126
